city,state,lat,lng,countyName
STOUGHTON,WI,42.9234,-89.2215,DANE
ARCADIA,WI,44.2486,-91.4915,TREMPEALEAU
PLEASANT PRAIRIE,WI,42.5266,-87.8895,KENOSHA
WILLIAMS BAY,WI,42.5788,-88.5457,WALWORTH
BARABOO,WI,43.4695,-89.7376,SAUK
DANE,WI,43.2499,-89.4996,DANE
MINERAL POINT,WI,42.8632,-90.1814,IOWA
CHETEK,WI,45.3159,-91.6532,BARRON
SOUTH MILWAUKEE,WI,42.912,-87.8627,MILWAUKEE
WISCONSIN DELLS,WI,43.6337,-89.7752,COLUMBIA
EAGLE RIVER,WI,45.9249,-89.2561,VILAS
STURGEON BAY,WI,44.8228,-87.366,DOOR
DELAFIELD,WI,43.072,-88.3913,WAUKESHA
PLOVER,WI,44.4614,-89.5383,PORTAGE
BLOOMER,WI,45.103,-91.4913,CHIPPEWA
FITCHBURG,WI,42.9859,-89.4255,DANE
MENASHA,WI,44.2124,-88.4272,WINNEBAGO
WHITEHALL,WI,44.3705,-91.3476,TREMPEALEAU
WATERTOWN,WI,43.1893,-88.7285,JEFFERSON
ELKHART LAKE,WI,43.8321,-88.0147,SHEBOYGAN
STOCKBRIDGE,WI,44.0717,-88.3105,CALUMET
LODI,WI,43.3154,-89.5366,COLUMBIA
OREGON,WI,42.9253,-89.3892,DANE
BLACK RIVER FALLS,WI,44.2981,-90.842,JACKSON
KEWASKUM,WI,43.5177,-88.2306,WASHINGTON
HELENVILLE,WI,43.0166,-88.6998,JEFFERSON
BAILEYS HARBOR,WI,45.0659,-87.133,DOOR
ALMA,WI,44.3371,-91.9223,BUFFALO
BERLIN,WI,43.9704,-88.9505,GREEN LAKE
MAYVILLE,WI,43.4986,-88.5475,DODGE
WEST SALEM,WI,43.8989,-91.0883,LA CROSSE
SHELL LAKE,WI,45.7322,-91.9033,WASHBURN
MARKESAN,WI,43.7099,-88.9907,GREEN LAKE
DELAVAN,WI,42.6281,-88.6324,WALWORTH
WATERFORD,WI,42.7646,-88.216,RACINE
WAUPUN,WI,43.6315,-88.738,FOND DU LAC
BELLEVILLE,WI,42.8643,-89.5402,DANE
WHITEWATER,WI,42.8372,-88.7341,WALWORTH
CUDAHY,WI,42.9467,-87.8641,MILWAUKEE
